date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price
1/1/2017,CAN,CAD,Canada,5.98,1.326,4.509803922
1/1/2017,CHE,CHF,Switzerland,6.5,1.0236,6.350136772
1/1/2017,CHL,CLP,Chile,2450,672.805,3.641471154
1/1/2017,CHN,CNY,China,19.6,6.9266,2.829671123
1/1/2017,COL,COP,Colombia,9900,2994.625,3.305923112
1/1/2017,CRI,CRC,Costa Rica,2250,554.33,4.058954053
1/1/2017,CZE,CZK,Czech Republic,75,25.81175,2.905653433
1/1/2017,DNK,DKK,Denmark,30,7.10125,4.224608344
1/1/2017,EGY,EGP,Egypt,27.49,18.77,1.464571124
1/1/2017,EUZ,EUR,Euro area,3.88,0.955246692,4.061778002
1/1/2017,GBR,GBP,Britain,3.09,0.82877507,3.728394002
1/1/2017,HKG,HKD,Hong Kong,19.2,7.75595,2.475518795
1/1/2017,HUN,HUF,Hungary,900,294.6172,3.054811464
1/1/2017,IDN,IDR,Indonesia,31000,13329,2.325755871
1/1/2017,IND,INR,India,170,68.3275,2.48801727
1/1/2017,ISR,ILS,Israel,16.9,3.855,4.383916991
1/1/2017,JPN,JPY,Japan,380,116.665,3.257189388
1/1/2017,KOR,KRW,South Korea,4400,1196.45,3.677546074
1/1/2017,LKA,LKR,Sri Lanka,550,150.06,3.665200586
1/1/2017,MEX,MXN,Mexico,49,21.9505,2.232295392
1/1/2017,MYS,MYR,Malaysia,8,4.4715,1.7891088
1/1/2017,NOR,NOK,Norway,49,8.64835,5.665820648
1/1/2017,NZL,NZD,New Zealand,6,1.43358899,4.1853
1/1/2017,PAK,PKR,Pakistan,375,104.775,3.579098067
1/1/2017,PER,PEN,Peru,11,3.3929,3.242064311
1/1/2017,PHL,PHP,Philippines,133,49.615,2.680640935
1/1/2017,POL,PLN,Poland,9.6,4.17215,2.300971921
1/1/2017,RUS,RUB,Russia,130,60.4375,2.15098242
1/1/2017,SAU,SAR,Saudi Arabia,12,3.75065,3.199445429
1/1/2017,SGP,SGD,Singapore,5.6,1.43875,3.892267593
1/1/2017,SWE,SEK,Sweden,48,9.12455,5.260533396
1/1/2017,THA,THB,Thailand,119,35.573,3.345233745
1/1/2017,TUR,TRY,Turkey,10.75,3.91115,2.748552216
1/1/2017,TWN,TWD,Taiwan,69,31.905,2.162670428
1/1/2017,UKR,UAH,Ukraine,42,27.235,1.542133284
1/1/2017,URY,UYU,Uruguay,125,28.725,4.351610096
1/1/2017,USA,USD,United States,5.06,1,5.06
1/1/2017,VNM,VND,Vietnam,60000,22572,2.658160553
1/1/2017,ZAF,ZAR,South Africa,26.32,13.9525,1.886400287
7/1/2017,ARE,AED,UAE,14,3.673,3.811598149
7/1/2017,ARG,ARS,Argentina,70,16.9675,4.125534109
7/1/2017,AUS,AUD,Australia,5.9,1.303016483,4.527955001
7/1/2017,BRA,BRL,Brazil,16.5,3.2343,5.101567573
7/1/2017,CAN,CAD,Canada,5.97,1.2823,4.655696795
7/1/2017,CHE,CHF,Switzerland,6.5,0.96415,6.741689571
7/1/2017,CHL,CLP,Chile,2550,663.355,3.844095545
7/1/2017,CHN,CNY,China,19.8,6.7875,2.917127072
7/1/2017,COL,COP,Colombia,9900,3052.16,3.243604529
7/1/2017,CRI,CRC,Costa Rica,2290,572.495,4.000034935
7/1/2017,CZE,CZK,Czech Republic,75,22.8561,3.281399714
7/1/2017,DNK,DKK,Denmark,30,6.51255,4.606490545
7/1/2017,EGY,EGP,Egypt,31.37,17.885,1.753983785
7/1/2017,EUZ,EUR,Euro area,3.91,0.875695083,4.4650245
7/1/2017,GBR,GBP,Britain,3.19,0.775885479,4.111431502
7/1/2017,HKG,HKD,Hong Kong,19.2,7.8115,2.457914613
7/1/2017,HUN,HUF,Hungary,862,268.6239,3.208947528
7/1/2017,IDN,IDR,Indonesia,32126,13369.5,2.402932047
7/1/2017,IND,INR,India,178,64.5575,2.757231925
7/1/2017,ISR,ILS,Israel,16.9,3.5405,4.773337099
7/1/2017,JPN,JPY,Japan,380,113.06,3.361047232
7/1/2017,KOR,KRW,South Korea,4400,1144.65,3.843969772
7/1/2017,LKA,LKR,Sri Lanka,580,153.725,3.772971215
7/1/2017,MEX,MXN,Mexico,49,17.79075,2.754240265
7/1/2017,MYS,MYR,Malaysia,8.6,4.2935,2.003027833
7/1/2017,NOR,NOK,Norway,49,8.2852,5.914160189
7/1/2017,NZL,NZD,New Zealand,6.1,1.376273053,4.432259999
7/1/2017,PAK,PKR,Pakistan,375,105.15,3.566333809
7/1/2017,PER,PEN,Peru,10.5,3.2515,3.229278794
7/1/2017,PHL,PHP,Philippines,134,50.5765,2.649451821
7/1/2017,POL,PLN,Poland,10.1,3.7086,2.723399666
7/1/2017,RUS,RUB,Russia,137,60.1369,2.278135388
7/1/2017,SAU,SAR,Saudi Arabia,12,3.75015,3.199872005
7/1/2017,SGP,SGD,Singapore,5.6,1.3777,4.06474559
7/1/2017,SWE,SEK,Sweden,48.97,8.41565,5.818920701
7/1/2017,THA,THB,Thailand,119,34.0365,3.496246676
7/1/2017,TUR,TRY,Turkey,10.75,3.57605,3.006110094
7/1/2017,TWN,TWD,Taiwan,69,30.4775,2.26396522
7/1/2017,UKR,UAH,Ukraine,44,25.915,1.697858383
7/1/2017,URY,UYU,Uruguay,130,28.705,4.52882773
7/1/2017,USA,USD,United States,5.3,1,5.3
7/1/2017,VNM,VND,Vietnam,60000,22732.5,2.63939294
7/1/2017,ZAF,ZAR,South Africa,30,13.27,2.260738508
1/1/2018,ARE,AED,UAE,14,3.673,3.811598149
1/1/2018,ARG,ARS,Argentina,75,18.9375,3.96039604
1/1/2018,AUS,AUD,Australia,5.9,1.253682693,4.706135
1/1/2018,BRA,BRL,Brazil,16.5,3.2279,5.111682518
1/1/2018,CAN,CAD,Canada,6.55,1.2459,5.25724376
1/1/2018,CHE,CHF,Switzerland,6.5,0.96085,6.764843628
1/1/2018,CHL,CLP,Chile,2600,605.935,4.290889287
1/1/2018,CHN,CNY,China,20.4,6.432,3.171641791
1/1/2018,COL,COP,Colombia,10900,2844.12,3.832468391
1/1/2018,CRI,CRC,Costa Rica,2290,568.53,4.027931683
1/1/2018,CZE,CZK,Czech Republic,79,20.747,3.807779438
1/1/2018,DNK,DKK,Denmark,30,6.0827,4.93202032
1/1/2018,EGY,EGP,Egypt,34.21,17.7,1.932768362
1/1/2018,EUZ,EUR,Euro area,3.95,0.816826629,4.835787497
1/1/2018,GBR,GBP,Britain,3.19,0.72285673,4.413045999
1/1/2018,HKG,HKD,Hong Kong,20.5,7.819,2.621818647
1/1/2018,HUN,HUF,Hungary,864,252.14215,3.426638505
1/1/2018,IDN,IDR,Indonesia,35750,13359,2.67609851
1/1/2018,IND,INR,India,180,63.86125,2.81861066
1/1/2018,ISR,ILS,Israel,16.5,3.43635,4.801606356
1/1/2018,JPN,JPY,Japan,380,110.725,3.431925943
1/1/2018,KOR,KRW,South Korea,4400,1069.25,4.115033902
1/1/2018,LKA,LKR,Sri Lanka,580,153.8,3.771131339
1/1/2018,MEX,MXN,Mexico,48,18.6635,2.57186487
1/1/2018,MYS,MYR,Malaysia,9,3.954,2.276176024
1/1/2018,NOR,NOK,Norway,49,7.8501,6.241958701
1/1/2018,NZL,NZD,New Zealand,6.2,1.374664925,4.510190001
1/1/2018,PAK,PKR,Pakistan,375,110.505,3.393511606
1/1/2018,PER,PEN,Peru,10.5,3.212,3.268991283
1/1/2018,PHL,PHP,Philippines,134,50.725,2.641695416
